id,,loan amount,funded amount,,term,interest rate,installment,grade,sub grade,employment title,employment length in years,home ownership,annual income,verification status,issue date,loan status,payment plan,Loan url,empty description,purpose,Title,Hidden zip code,State,Debt to income ratio,# of Delinquencies in last 2 years,earliest Credit line,Fico range low,fico range high,# inquiries in the last 6 months,months since last delinquency,months since last record?,# open accounts,public record,revolving balance,revolving utilization?,total accounts,intial list status?,,,,,,,,,,last payment date,last payment amount,next payment date,last credit pull date,last fico range high,last fico range low,,,,application type,annual income joit,debt to income joint,verification status joint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt settlement flag,,,,,,
id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
159503961,,37200,37200,37200, 36 months,6.46%,1139.47,A,A1,,n/a,MORTGAGE,96000,Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159503961,,credit_card,Credit card refinancing,720xx,AR,27.43,0,May-95,770,774,1,,,9,0,30557,49.20%,48,w,33377.52,33377.52,4405.06,4405.06,3822.48,582.58,0,0,0,20-Jan,1139.47,20-Feb,20-Jan,824,820,0,,1,Individual,,,,0,0,81952,1,2,0,2,19,33685,60,1,4,0,52,62100,0,5,1,6,9106,16400,0,0,0,158,292,3,3,4,3,,3,,0,0,2,3,8,26,6,18,2,9,0,0,0,1,100,0,0,0,202196,64242,16400,62236,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159514851,,30000,30000,30000, 36 months,20.55%,1123.34,D,D2,Avp production support manager,2 years,MORTGAGE,175000,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159514851,,debt_consolidation,Debt consolidation,750xx,TX,12.69,0,5-May,685,689,0,52,,12,0,22265,64.70%,19,w,22392.34,22392.34,9459.11,9459.11,7607.66,1851.45,0,0,0,20-Jan,1123.34,20-Feb,20-Jan,674,670,0,,1,Individual,,,,0,0,221578,1,2,2,2,4,33847,71,2,2,7752,69,34400,3,0,7,4,22158,376,98.2,0,0,134,172,10,4,2,40,,0,,0,3,6,5,6,7,9,10,6,12,0,0,0,4,94.7,100,0,0,291525,56112,20600,47556,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159522893,,26400,26400,26400, 60 months,14.30%,618.4,C,C1,Sleep Tech Lead,9 years,MORTGAGE,63000,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159522893,,credit_card,Credit card refinancing,806xx,CO,25.5,0,7-Feb,715,719,2,62,,12,0,9036,19.90%,31,w,24999.91,24999.91,2452.63,2452.63,1400.09,1052.54,0,0,0,20-Jan,618.4,20-Feb,20-Jan,729,725,0,71,1,Joint App,97000,21.62,Not Verified,0,0,343119,2,3,1,2,2,40358,75,1,2,3548,50,45400,1,1,7,5,28593,34440,18.8,0,0,151,140,11,2,3,11,67,0,62,1,5,6,6,12,10,7,18,6,12,0,0,0,3,71,16.7,0,0,409029,49394,42400,53989,23368,700,704,8-Jan,2,3,14,34.7,6,13,0,0,71,N,,,,,,,,,,,,,,,N,,,,,,
159530656,,16000,16000,16000, 36 months,12.40%,534.5,B,B4,Director,10+ years,RENT,96000,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159530656,,debt_consolidation,Debt consolidation,108xx,NY,22.06,0,10-Nov,680,684,1,,83,9,1,825,2.80%,16,w,14443.45,14443.45,2126.98,2126.98,1556.55,570.43,0,0,0,20-Jan,534.5,20-Feb,20-Jan,724,720,0,,1,Individual,,,,0,0,44069,2,4,2,5,2,43244,79,0,1,695,52,29400,5,0,7,6,4897,19875,4,0,0,106,85,17,2,0,32,,1,,0,2,2,3,3,8,5,8,2,9,0,0,0,2,100,0,1,0,84315,44069,20700,54915,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159580881,,6600,6600,6600, 36 months,6.46%,202.17,A,A1,Team member,4 years,MORTGAGE,49000,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159580881,,credit_card,Credit card refinancing,374xx,TN,5.95,0,13-Jul,660,664,0,41,,7,0,6732,30.10%,9,w,5928.04,5928.04,806.31,806.31,671.96,134.35,0,0,0,20-Jan,202.17,20-Feb,20-Jan,724,720,1,,1,Individual,,,,0,194,181459,1,0,0,1,24,0,,1,2,2512,30,22400,1,0,1,4,25923,8635,41.3,0,0,24,74,10,4,1,68,,6,41,0,3,5,3,3,1,6,7,5,7,0,0,0,2,88.9,0,0,0,197666,6732,14700,0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159590525,,7800,7800,7800, 36 months,8.81%,247.35,A,A5,RN,8 years,MORTGAGE,60000,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159590525,,home_improvement,Home improvement,434xx,OH,29.7,0,6-Oct,755,759,0,,,26,0,6271,20.50%,40,w,7031.25,7031.25,985.58,985.58,768.75,216.83,0,0,0,20-Jan,247.35,20-Feb,20-Jan,774,770,0,,1,Individual,,,,0,0,65553,0,15,0,2,15,59282,67,2,3,5054,55,30600,0,0,0,5,2521,12946,28.1,0,0,155,58,8,8,0,8,,15,,0,1,4,3,3,28,11,12,4,26,0,0,0,2,100,33.3,0,0,118650,65553,18000,88050,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159601101,,6800,6800,6800, 36 months,13.08%,229.39,B,B5,,n/a,RENT,90192,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159601101,,other,Other,945xx,CA,8.07,0,Sep-91,690,694,0,56,,9,0,5456,25%,45,w,6349.29,6349.29,683.23,683.23,450.71,232.52,0,0,0,20-Jan,229.39,20-Feb,20-Jan,709,705,0,56,1,Individual,,,,0,0,18320,0,1,1,4,10,12864,86,1,3,3759,50,21800,1,0,1,7,2036,5887,47.9,0,0,97,336,7,7,1,7,56,12,56,1,3,4,4,14,20,8,24,4,9,0,0,0,2,95.6,25,0,0,36800,18320,11300,15000,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159604799,,35000,35000,35000, 36 months,11.02%,1146.19,B,B2,VP,3 years,RENT,130000,Source Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159604799,,credit_card,Credit card refinancing,070xx,NJ,13.14,0,6-Aug,680,684,0,27,,8,0,44878,97.60%,15,w,31655.18,31655.18,4563.33,4563.33,3344.82,1218.51,0,0,0,20-Jan,1146.19,20-Feb,20-Jan,689,685,0,,1,Individual,,,,0,0,46533,0,4,0,0,120,1655,11,0,0,21296,77,46000,0,0,0,0,5817,1122,97.6,0,0,157,108,29,29,0,29,27,21,27,0,4,4,4,4,9,4,6,4,8,0,0,0,0,93.3,100,0,0,60625,46533,46000,14625,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159596546,,24000,24000,24000, 36 months,10.33%,778.14,B,B1,Accounting Specialist,10+ years,OWN,130000,Not Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159596546,,debt_consolidation,Debt consolidation,140xx,NY,16.78,0,3-Jul,705,709,0,,,10,0,31121,68.50%,34,w,21684.15,21684.15,3098.79,3098.79,2315.85,782.94,0,0,0,20-Jan,778.14,20-Feb,20-Jan,739,735,0,,1,Individual,,,,0,0,72620,2,2,0,3,16,41499,82,2,5,19933,75,45400,3,1,0,8,7262,4403,87.4,0,0,150,194,4,4,2,5,,13,,0,4,5,4,9,11,8,21,5,10,0,0,0,2,100,50,0,0,96327,72620,35000,50927,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,N,,,,,,
159323106,,18000,18000,18000, 60 months,18.62%,463.18,D,D1,,n/a,MORTGAGE,24000,Verified,19-Sep,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=159323106,,debt_consolidation,Debt consolidation,177xx,PA,151.3,0,3-May,705,709,1,,,14,0,32760,71.40%,23,w,17247.18,17247.18,1834.1,1834.1,752.82,1081.28,0,0,0,20-Jan,463.18,20-Feb,20-Jan,709,705,0,,1,Joint App,169000,39.91,Verified,0,0,260278,2,6,3,4,3,70386,66,1,1,7756,67,45900,2,2,4,5,18591,9765,66.3,0,0,196,107,1,1,3,1,,3,,0,4,6,5,6,12,7,8,6,14,0,0,0,4,100,60,0,0,331061,103146,29000,107381,120834,665,669,3-May,2,3,28,61.6,16,12,0,0,,N,,,,,,,,,,,,,,,N,,,,,,
